src_ip,dst_ip,protocol,src_port,dst_port,duration, service,src_bytes,dst_bytes,wrong_fragment,hot,num_failed_logins,logged_in,lnum_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53669,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,64605,1451191,64605,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,64605,443,1451191,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,64605,443,1451191,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,64605,1451191,64605,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,64605,1451191,64605,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,64605,1451191,64605,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,64605,1451191,64605,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,64605,1451191,64605,1438,1438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,64605,443,1451191,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,64605,443,1451191,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,443,64585,1451191,64585,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
